모델명,제품명,수리부품,수리비용
SM-F711N1BFKOO,갤럭시 Z 플립3,디스플레이(메인),"543,000"
SM-F711N1BFKOO,갤럭시 Z 플립3,디스플레이(서브),"130,000"
SM-F711N1BFKOO,갤럭시 Z 플립3,메인보드,"460,000"
SM-F711N1BFKOO,갤럭시 Z 플립3,배터리,"96,500"
SM-F711N1BFKOO,갤럭시 Z 플립3,카메라,"64,000"
SM-F711N1BFKOO,갤럭시 Z 플립3,후면케이스,"33,000"
SM-F741NZWAKOO,갤럭시 Z 플립6,디스플레이(메인),"542,000"
SM-F741NZWAKOO,갤럭시 Z 플립6,디스플레이(서브),"152,000"
SM-F741NZWAKOO,갤럭시 Z 플립6,메인보드,"554,000"
SM-F741NZWAKOO,갤럭시 Z 플립6,배터리,"130,000"
SM-F741NZWAKOO,갤럭시 Z 플립6,카메라,"82,000"
SM-F741NZWAKOO,갤럭시 Z 플립6,후면케이스,"40,000"
SM-F956NAKEKOO,갤럭시 Z 폴드6,디스플레이(메인),"859,000"
SM-F956NAKEKOO,갤럭시 Z 폴드6,디스플레이(서브),"196,000"
SM-F956NAKEKOO,갤럭시 Z 폴드6,메인보드,"566,000"
SM-F956NAKEKOO,갤럭시 Z 폴드6,배터리,"111,500"
SM-F956NAKEKOO,갤럭시 Z 폴드6,카메라,"75,500"
SM-F956NAKEKOO,갤럭시 Z 폴드6,후면케이스,"72,000"
SM-S928NLBNKOO,갤럭시 S24 ULTRA,디스플레이,"378,000"
SM-S928NLBNKOO,갤럭시 S24 ULTRA,메인보드,"622,000"
SM-S928NLBNKOO,갤럭시 S24 ULTRA,배터리,"67,500"
SM-S928NLBNKOO,갤럭시 S24 ULTRA,카메라,"110,900"
SM-S928NLBNKOO,갤럭시 S24 ULTRA,후면케이스,"74,000"
SM-S926NZYAKOO,갤럭시 S24+,디스플레이,"299,000"
SM-S926NZYAKOO,갤럭시 S24+,메인보드,"480,000"
SM-S926NZYAKOO,갤럭시 S24+,배터리,"67,500"
SM-S926NZYAKOO,갤럭시 S24+,카메라,"85,000"
SM-S926NZYAKOO,갤럭시 S24+,후면케이스,"54,000"
SM-S921NZYEKOO,갤럭시 S24,디스플레이,"251,000"
SM-S921NZYEKOO,갤럭시 S24,메인보드,"474,000"
SM-S921NZYEKOO,갤럭시 S24,배터리,"67,500"
SM-S921NZYEKOO,갤럭시 S24,카메라,"86,000"
SM-S921NZYEKOO,갤럭시 S24,후면케이스,"54,000"
